# Airline ICAO-to-telephony map, derived from OpenFlights airlines.dat.
# Source: https://openflights.org/data.html
# License: ODbL 1.0 (see LICENSE-OPENFLIGHTS.txt in this directory)
# Columns: icao<TAB>callsign<TAB>name<TAB>country
# Regenerate: python tools/refresh-airlines.py
ALQ	ALTAIR	Altair Aviation (1986)	Canada
ALR	AEROLAIRE	Lineas Aereas Alaire S.L.	Spain
ALU	LUXORJET	Air Luxor STP	Sao Tome and Principe
ALV	ALVEN	Alas de Venezuela	Venezuela
ALX	ALLCONGO	Hewa Bora Airways	Democratic Republic of the Congo
ALY	ALYESKA	Alyeska Air Service	United States
AMA	ADIK	ATMA	Kazakhstan
AMB	CIVIL AIR AMBULANCE	Deutsche Rettungsflugwacht	Germany
AMC	AIR MALTA	Air Malta	Malta
AMD	AEROLINEAS MEDELLIN	Aerolineas Medellin	Colombia
AME	AIRMIL	Spanish Air Force	Spain
AMF	AMFLIGHT	Ameriflight	United States
AMG	AIR MINAS	Air Minas Linhas A	Brazil
AMH	MANN	Alan Mann Helicopters Ltd.	United Kingdom
AMI	AIR MALDIVES	Air Maldives	Maldives
AMJ	AVIATION AMOS	Aviation Amos	Canada
AMK	AMER AIR	Amerer Air	Austria
AML	MALAWI	Air Malawi	Malawi
AMM	AEROM	Aeroputul International Marculesti	Moldova
AMN	MONTENEGRO	Air Montenegro	Montenegro
AMO	AIR MONTREAL	Air Montreal (Air Holdings Inc.)	Canada
AMP	ATSA	Aero Transporte S.A. (ATSA)	Peru
AMQ	LIFELINE	Aeromedicare Ltd.	United Kingdom
AMR	AIR AM	Air Specialties Corporation	United States
AMS	AIR MUSKOKA	Air Muskoka	Canada
AMT	AMTRAN	ATA Airlines	United States
AMU	AIR MACAO	Air Macau	Macao
AMW	AIR MIDWEST	Air Midwest	United States
AMX	AEROMEXICO	AeroMéxico	Mexico
AMY	AIR AMBAR	Air Ambar	Dominican Republic
AMZ	AMIYA AIR	Amiya Airline	Nigeria
ANA	ALL NIPPON	All Nippon Airways	Japan
ANB	AIR NAV	Air Navigation And Trading Co. Ltd.	United Kingdom
ANC	ANGLO	Anglo Cargo	United Kingdom
AND	AIR INDIANA	National Jet Service	United States
ANE	AIR NOSTRUM	Air Nostrum	Spain
ANG	NUIGINI	Air Niugini	Papua New Guinea
ANH	ALAJNIHAH	Alajnihah for Air Transport	Libya
ANI	NIGALANTIC	Air Atlantic (Nig) Limited	Nigeria
ANK	ANK AIR	Air Nippon	Japan
ANL	AIR NACOIA	Nacoia Lda	Angola
ANO	TOPEND	Airnorth	Australia
ANQ	ANTIOQUIA	Aerol	Colombia
ANS	AEROANDES	Andes Lineas Aereas	Argentina
ANT	AIR NORTH	Air North Charter - Canada	Canada
ANU	ANDALUS	Andalus Lineas Aereas	Spain
ANV	AIR NEVADA	Air Nevada	United States
ANX	SECRETARIA DEMARINA	Secretaria de Marina	Mexico
ANZ	NEW ZEALAND	Air New Zealand	New Zealand
AOC	AERO AVCOM	AVCOM	Russia
AOD	AERO CZECH	Aero Vodochody	Czech Republic
AOF	ATAIR	Atair Pty Ltd.	South Africa
AOG	AVIP	Aero VIP	Argentina
AOL	ANGKOR AIR	Angkor Airlines	Cambodia
AOM	FRENCH LINES	AOM French Airlines	France
AON	AERO ENTERPRISE	Aero Entreprise	France
AOO	OPENED JOINT STOCK COMPANY	As	COMPANY AS
AOP	AEROPILOTO	Aeropiloto	Portugal
AOR	INTER-AFRO	Afro International Ent. Limited	Nigeria
AOT	ASIA OVERNIGHT	Asia Overnight Express	Philippines
AOU	AIR TRACTOR	Air Tractor	Croatia
AOV	AEROVISION	Aero Vision	France
AOW	AIR ANDAMAN	Air Andaman (2Y)	Thailand
AOX	AEROVALLE	Aerotaxi Del Valle	Colombia
APA	CAN-AM	Air Park Aviation Ltd.	Canada
APE	AIR PARCEL	Parcel Express	United States
APF	AMAPOLA	Amapola Flyg AB	Sweden
APG	AIR PEOPLE	Air People International	Thailand
APO	AEROPRO	Aeropro	Canada
APQ	ASPEN BASE	Aspen Aviation	United States
APV	AIR PLAN	Air Plan International	Democratic Republic of the Congo
APW	BIG A	Arrow Air	United States
APX	PARCEL EXPRESS	Apex Air Cargo	United States
APY	APA INTERNACIONAL	APA Internacional	Dominican Republic
AQL	AQUILA	Aquila Air Ltd.	Canada
AQN	BUSHAIR	Air Queensland	Australia
AQO	ALCOA SHUTTLE	Aluminum Company Of America	United States
AQU	QUARIUS	AirQuarius Aviation	South Africa
AQZ	QUANZA	Aerodyne Charter Company	United States
ARA	ARIK AIR	Arik Air	Nigeria
ARB	AVIAIR	Avia Air N.V.	Aruba
ARD	AEROCONDOR	Aerocondor	Portugal
ARE	AEROVIAS DE INTEGRACION REGIONAL	Aires	S.A.
ARF	AERO FOX	Aero Flight	Germany
ARG	ARGENTINA	Aerolineas Argentinas	Argentina
ARH	ARROWHEAD	Arrowhead Airways	United States
ARI	AEROVICS	Aero Vics	Mexico
ARK	LINK SERVICE	Aero Link Air Services S.L.	Spain
