# ICAO aircraft type designators → spoken manufacturer/family names.
# Source: vNAS AircraftSpecs.json (data-api.vnas.vatsim.net).
# Columns: designator<TAB>manufacturer<TAB>family
# Regenerate: python tools/refresh-aircraft-types.py
#
# Either field may be empty if extraction couldn't find a suitable word.
# Runtime fallback: if family is empty, manufacturer is used as the only spoken form.
A002	irkut
A1	douglas	skyraider
A10	fairchild	thunderbolt
A109	agusta	power
A119	agusta	koala
A122	aerotec	uirapuru
A124	antonov	ruslan
A129	agusta	mangusta
A139	agusta	grey
A140	antonov	faraz
A148	antonov
A149	agusta
A158	antonov
A16	aviadesign
A169	agustawestland
A178	antonov
A189	agustawestland
A19	aeropract
A19N	airbus
A20	douglas	havoc
A20J	schleicher
A20N	airbus
A21	aeropract	solo
A210	aquila
A21N	airbus
A22	sadler	piranha
A223		kityonok
A225	antonov	mriya
A23	aeropract	dragon
A25	aeropract	breeze
A27	aeropract
A270	aero	propjet
A29	avantage
A2RT	kazan
A3	douglas	skywarrior
A306	airbus
A30B	airbus
A31	avantage	spectrum
A310	airbus	polaris
A318	airbus	elite
A319	airbus	acj
A320	airbus	prestige
A321	airbus
A33	aeropract
A332	airbus	prestige
A333	airbus
A337	airbus	beluga
A338	airbus
A339	airbus
A342	airbus	prestige
A343	airbus	prestige
A345	airbus	prestige
A346	airbus	prestige
A35	avantage	scanner
A359	airbus	prestige
A35K	airbus	prestige
A37	cessna	dragonfly
A388	airbus	prestige
A3ST	airbus	beluga
A4	mcdonnell	skyhawk
A400	airbus	grizzly
A5	icon
A50	ilyushin
A500	adam	carbonaero
A504	avro
A6	grumman	intruder
A600	rotorway
A660	ayres	turbo
A700	adam	adamjet
A743	antonov
A748	hawker	andover
A890	aviatika
A9	aero	commander
A900	aviatika	acrobat
A910	aviatika	interfly
AA1	grumman	trainer
AA37	aeropract
AA5	grumman	tiger
AAT3	aero
AAT4	aero
AB11	aero
AB15	aero
AB18	aero
AB95	aero
AC11	north	commander
AC31	avicopter
AC33	avicopter
AC4	light
AC50	aero	commander
AC52	aero
AC56	aero	commander
